,Datetime,GW_1,GW_2,GW_3,GW_4,GW_5,GW_6,Weser
0,2014-10-17 15:00:00,0.2,-0.01,0.13,0.31,-0.02,-0.11,-1.13
1,2014-10-17 15:10:00,0.21,0.0,0.14,0.31,-0.01,-0.11,-1.07
2,2014-10-17 15:20:00,0.22,0.02,0.16,0.32,0.01,-0.1,-0.95
3,2014-10-17 15:30:00,0.24,0.06,0.18,0.34,0.04,-0.08,-0.87
4,2014-10-17 15:40:00,0.26,0.1,0.21,0.36,0.08,-0.06,-0.75
5,2014-10-17 15:50:00,0.28,0.14,0.24,0.37,0.12,-0.04,-0.64
6,2014-10-17 16:00:00,0.3,0.18,0.27,0.39,0.16,-0.01,-0.55
7,2014-10-17 16:10:00,0.32,0.21,0.29,0.41,0.19,0.01,-0.47
8,2014-10-17 16:20:00,0.34,0.24,0.31,0.42,0.22,0.03,-0.38
9,2014-10-17 16:30:00,0.36,0.27,0.34,0.44,0.25,0.05,-0.3
10,2014-10-17 16:40:00,0.38,0.3,0.36,0.45,0.28,0.07,-0.2
11,2014-10-17 16:50:00,0.41,0.34,0.39,0.47,0.31,0.1,-0.11
12,2014-10-17 17:00:00,0.43,0.38,0.42,0.5,0.35,0.14,0.01
13,2014-10-17 17:10:00,0.46,0.42,0.45,0.52,0.39,0.17,0.14
14,2014-10-17 17:20:00,0.49,0.46,0.48,0.54,0.43,0.21,0.25
15,2014-10-17 17:30:00,0.52,0.5,0.52,0.56,0.47,0.25,0.37
16,2014-10-17 17:40:00,0.55,0.54,0.55,0.59,0.51,0.29,0.5
17,2014-10-17 17:50:00,0.59,0.58,0.58,0.61,0.55,0.34,0.63
18,2014-10-17 18:00:00,0.62,0.62,0.61,0.64,0.58,0.38,0.74
19,2014-10-17 18:10:00,0.65,0.65,0.64,0.66,0.62,0.42,0.85
20,2014-10-17 18:20:00,0.67,0.68,0.66,0.67,0.65,0.46,0.93
21,2014-10-17 18:30:00,0.7,0.7,0.68,0.69,0.67,0.5,1.02
22,2014-10-17 18:40:00,0.72,0.72,0.7,0.7,0.7,0.53,1.11
23,2014-10-17 18:50:00,0.74,0.74,0.72,0.72,0.73,0.57,1.21
24,2014-10-17 19:00:00,0.76,0.76,0.74,0.73,0.75,0.61,1.29
25,2014-10-17 19:10:00,0.79,0.78,0.75,0.75,0.78,0.64,1.38
26,2014-10-17 19:20:00,0.8,0.8,0.77,0.76,0.8,0.68,1.45
27,2014-10-17 19:30:00,0.82,0.82,0.78,0.77,0.82,0.72,1.53
28,2014-10-17 19:40:00,0.84,0.83,0.79,0.78,0.84,0.75,1.59
29,2014-10-17 19:50:00,0.86,0.84,0.8,0.79,0.86,0.78,1.65
30,2014-10-17 20:00:00,0.87,0.86,0.81,0.8,0.87,0.81,1.7
31,2014-10-17 20:10:00,0.88,0.86,0.82,0.81,0.89,0.83,1.75
32,2014-10-17 20:20:00,0.9,0.87,0.83,0.81,0.9,0.86,1.77
33,2014-10-17 20:30:00,0.9,0.88,0.83,0.82,0.9,0.88,1.79
34,2014-10-17 20:40:00,0.91,0.88,0.84,0.82,0.91,0.89,1.79
35,2014-10-17 20:50:00,0.92,0.88,0.84,0.82,0.91,0.9,1.78
36,2014-10-17 21:00:00,0.92,0.88,0.84,0.82,0.91,0.91,1.76
37,2014-10-17 21:10:00,0.92,0.87,0.83,0.82,0.9,0.91,1.72
38,2014-10-17 21:20:00,0.91,0.86,0.83,0.82,0.89,0.91,1.67
39,2014-10-17 21:30:00,0.9,0.86,0.82,0.82,0.88,0.9,1.61
40,2014-10-17 21:40:00,0.9,0.84,0.81,0.81,0.87,0.9,1.54
41,2014-10-17 21:50:00,0.89,0.83,0.81,0.81,0.86,0.88,1.47
42,2014-10-17 22:00:00,0.88,0.82,0.8,0.8,0.84,0.87,1.39
43,2014-10-17 22:10:00,0.87,0.81,0.79,0.79,0.82,0.85,1.31
44,2014-10-17 22:20:00,0.85,0.79,0.78,0.79,0.8,0.84,1.23
45,2014-10-17 22:30:00,0.84,0.77,0.76,0.78,0.78,0.81,1.12
46,2014-10-17 22:40:00,0.82,0.76,0.75,0.77,0.76,0.79,1.05
47,2014-10-17 22:50:00,0.81,0.74,0.74,0.76,0.73,0.76,0.94
48,2014-10-17 23:00:00,0.79,0.72,0.72,0.75,0.71,0.74,0.83
49,2014-10-17 23:10:00,0.77,0.7,0.7,0.74,0.68,0.71,0.73
50,2014-10-17 23:20:00,0.75,0.68,0.69,0.72,0.65,0.68,0.64
51,2014-10-17 23:30:00,0.73,0.66,0.67,0.71,0.63,0.64,0.53
52,2014-10-17 23:40:00,0.71,0.64,0.65,0.7,0.6,0.61,0.43
53,2014-10-17 23:50:00,0.68,0.61,0.63,0.68,0.57,0.58,0.34
54,2014-10-18 00:00:00,0.66,0.58,0.61,0.67,0.54,0.54,0.23
55,2014-10-18 00:10:00,0.63,0.55,0.59,0.65,0.51,0.5,0.14
56,2014-10-18 00:20:00,0.6,0.52,0.56,0.63,0.48,0.46,0.04
57,2014-10-18 00:30:00,0.58,0.48,0.53,0.61,0.45,0.43,-0.06
58,2014-10-18 00:40:00,0.55,0.45,0.5,0.59,0.42,0.39,-0.16
59,2014-10-18 00:50:00,0.52,0.41,0.48,0.57,0.38,0.35,-0.25
60,2014-10-18 01:00:00,0.49,0.37,0.45,0.55,0.35,0.31,-0.34
61,2014-10-18 01:10:00,0.46,0.33,0.42,0.53,0.32,0.27,-0.44
62,2014-10-18 01:20:00,0.43,0.3,0.38,0.51,0.28,0.23,-0.54
63,2014-10-18 01:30:00,0.4,0.26,0.36,0.48,0.24,0.19,-0.63
64,2014-10-18 01:40:00,0.38,0.22,0.33,0.46,0.21,0.15,-0.71
65,2014-10-18 01:50:00,0.35,0.18,0.3,0.44,0.17,0.12,-0.8
66,2014-10-18 02:00:00,0.32,0.15,0.27,0.42,0.14,0.08,-0.89
67,2014-10-18 02:10:00,0.3,0.11,0.24,0.4,0.1,0.04,-0.95
68,2014-10-18 02:20:00,0.27,0.08,0.21,0.38,0.07,0.0,-1.03
69,2014-10-18 02:30:00,0.25,0.05,0.19,0.36,0.04,-0.03,-1.1
70,2014-10-18 02:40:00,0.23,0.02,0.16,0.34,0.01,-0.06,-1.16
71,2014-10-18 02:50:00,0.2,-0.01,0.14,0.32,-0.02,-0.1,-1.22
72,2014-10-18 03:00:00,0.19,-0.04,0.12,0.3,-0.04,-0.12,-1.26
73,2014-10-18 03:10:00,0.17,-0.06,0.1,0.29,-0.06,-0.15,-1.29
74,2014-10-18 03:20:00,0.16,-0.07,0.09,0.28,-0.08,-0.17,-1.29
75,2014-10-18 03:30:00,0.16,-0.07,0.09,0.28,-0.08,-0.18,-1.27
76,2014-10-18 03:40:00,0.16,-0.06,0.09,0.28,-0.07,-0.19,-1.21
77,2014-10-18 03:50:00,0.17,-0.04,0.11,0.28,-0.05,-0.18,-1.11
78,2014-10-18 04:00:00,0.19,0.0,0.13,0.3,-0.02,-0.17,-0.99
79,2014-10-18 04:10:00,0.21,0.04,0.16,0.32,0.02,-0.14,-0.87
80,2014-10-18 04:20:00,0.23,0.08,0.19,0.33,0.06,-0.12,-0.78
81,2014-10-18 04:30:00,0.25,0.11,0.21,0.35,0.09,-0.1,-0.69
82,2014-10-18 04:40:00,0.27,0.14,0.24,0.37,0.12,-0.08,-0.62
83,2014-10-18 04:50:00,0.29,0.17,0.26,0.38,0.15,-0.06,-0.54
84,2014-10-18 05:00:00,0.3,0.2,0.28,0.39,0.18,-0.05,-0.46
85,2014-10-18 05:10:00,0.32,0.23,0.3,0.41,0.21,-0.02,-0.37
86,2014-10-18 05:20:00,0.34,0.26,0.33,0.43,0.24,0.0,-0.27
87,2014-10-18 05:30:00,0.37,0.3,0.36,0.45,0.28,0.03,-0.15
88,2014-10-18 05:40:00,0.4,0.34,0.39,0.47,0.32,0.07,-0.03
